Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-04-16 22:04:47,false,"Reims Walking","2,38","134","00:28:46","89","100","0,4","106","126","12:05","7:25","1","25","0,78","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.174","--","--","-1","--","No","00:04:40,0","3","--","--","--","--","00:28:00","00:28:46","82","108"
Running,2026-04-16 16:10:52,false,"Reims Running","13,05","871","01:04:30","167","178","5,0","166","237","4:57","4:20","27","25","1,22","7,9","9,8","268","51,0% L / 49,0% R","4:57","--","--","339","0,0","--","338","549","--","--","--","10.652","--","--","-13","--","No","00:00:15,4","14","--","39","20","46","01:04:27","01:04:30","78","90"
Running,2026-04-13 18:45:42,false,"Diemen Running","10,09","663","00:52:29","157","171","4,0","166","179","5:12","4:16","29","23","1,16","7,9","9,4","285","49,7% L / 50,3% R","5:13","--","--","318","0,0","--","317","415","--","--","--","8.650","--","--","-10","--","No","00:00:25,9","11","--","38","29","44","00:52:26","00:52:53","-9","4"
Walking,2026-04-12 17:55:05,false,"Diemen Walking","3,53","202","01:02:02","69","100","0,3","17","188","17:35","3:53","6","10","3,69","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.134","--","--","-4","--","No","00:09:01,5","4","--","--","--","--","00:48:51","01:25:53","-2","4"
Road Cycling,2026-04-11 14:03:41,false,"Diemen Road Cycling","80,66","1.832","02:55:28","144","166","4,4","--","--","27,6","41,1","178","326","--","--","--","--","--","--","84","137","160","189,4","168","151","638","14637","--","--","--","--","--","--","16,0","No","00:01:46,2","17","22,0","32","18","45","02:55:07","03:02:08","-5","142"
Pool Swim,2026-04-11 10:33:35,false,"Pool Swim","1.550","326","00:37:14","138","161","2,9","--","--","2:15","1:41","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","773","46","22","--","--","--","--","--","No","00:37:14","1","--","--","--","--","00:34:58","00:38:13","--","--"
Cycling,2026-04-10 09:44:55,false,"Diemen Cycling","6,75","171","00:49:41","83","118","0,3","--","--","8,1","24,9","20","17","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","-6","--","No","00:16:37","2","--","--","--","--","00:33:34","01:56:00","-7","12"
Virtual Cycling,2026-04-09 21:59:34,false,"Zwift - Aerobic Foundation Marathon","24,42","468","01:06:56","128","139","2,4","--","--","21,9","63,4","441","--","--","--","--","--","--","--","79","161","126","0,0","133","122","233","--","--","--","--","--","--","--","--","No","00:00:19","8","--","--","--","--","01:06:55","01:07:19","-6","374"
Walking,2026-04-09 18:20:49,false,"Diemen Walking","1,76","103","00:32:39","68","98","0,1","64","115","18:32","9:27","11","8","0,90","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.014","--","--","-2","--","No","00:13:08","2","--","--","--","--","00:28:22","00:32:39","82","91"
Virtual Cycling,2026-04-09 11:20:12,false,"Zwift - 40/20 s into FTP #1","28,80","450","00:55:22","138","160","2,9","--","--","31,2","51,5","142","--","--","--","--","--","--","--","73","121","152","0,0","158","141","367","--","--","--","--","--","--","--","--","No","00:00:20","31","--","--","--","--","00:55:21","00:55:21","2","15"
Running,2026-04-07 21:02:36,false,"Diemen Running","10,02","656","00:50:02","163","180","4,4","165","178","5:00","4:18","16","11","1,21","8,0","9,9","279","51,0% L / 49,0% R","5:00","--","--","341","0,0","--","339","405","--","--","--","8.230","--","--","-9","--","No","00:00:03,4","11","--","38","25","52","00:50:00","00:50:02","-4","5"
Virtual Cycling,2026-04-07 10:15:25,false,"Zwift - Aerobic Foundation Forge","35,22","685","01:35:49","131","148","2,7","--","--","22,1","55,4","525","--","--","--","--","--","--","--","97","123","126","0,0","130","124","246","--","--","--","--","--","--","--","--","No","00:05:01","6","--","--","--","--","01:35:48","01:35:48","2","283"
Running,2026-04-06 17:06:23,false,"Diemen Running","10,03","675","00:53:27","159","176","4,1","166","206","5:20","4:04","29","22","1,13","8,2","9,5","283","50,8% L / 49,2% R","5:20","--","--","315","0,0","--","313","442","--","--","--","8.800","--","--","-9","--","No","00:00:09,4","11","--","37","18","46","00:53:23","00:53:27","-6","6"
Virtual Cycling,2026-04-05 22:10:18,false,"Zwift - Anaerobic Hammer Session","20,17","335","00:45:14","126","164","2,6","--","--","26,7","63,7","224","--","--","--","--","--","--","--","80","160","155","0,0","150","129","393","--","--","--","--","--","--","--","--","No","00:00:13","13","--","--","--","--","00:45:09","00:45:13","1","58"
Virtual Cycling,2026-04-05 10:51:45,false,"Zwift - Aerobic Foundation Forge","43,05","629","01:30:25","125","142","2,6","--","--","28,6","51,3","277","--","--","--","--","--","--","--","88","155","122","0,0","127","121","246","--","--","--","--","--","--","--","--","No","00:00:24","6","--","--","--","--","01:30:21","01:30:24","0","100"
Cycling,2026-04-03 12:30:54,false,"Diemen Cycling","7,20","231","00:37:52","110","135","1,4","--","--","11,4","25,6","43","33","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","-3","--","No","00:17:46","2","--","--","--","--","00:26:28","00:37:52","-10","13"
Virtual Cycling,2026-04-03 10:41:31,false,"Zwift - Aerobic Foundation Marathon","35,22","610","01:24:38","--","--","--","--","--","25,0","66,1","378","--","--","--","--","--","--","--","85","160","129","0,0","131","125","272","--","--","--","--","--","--","--","--","No","00:02:37","9","--","--","--","--","01:24:34","01:24:37","4","65"
Running,2026-04-02 19:04:58,false,"Diemen Running","5,07","347","00:26:40","158","174","3,2","168","181","5:15","4:48","24","18","1,13","7,4","8,7","291","49,9% L / 50,1% R","5:15","--","--","332","0,0","--","328","506","--","--","--","4.454","--","--","-4","--","No","00:00:23,0","6","--","37","32","41","00:26:38","00:26:40","-9","7"
Running,2026-04-01 13:16:11,false,"Amsterdam Running","20,01","1.338","01:39:58","163","183","5,0","167","175","5:00","4:13","71","60","1,20","7,9","9,7","273","50,2% L / 49,8% R","5:00","--","--","344","0,0","--","343","461","--","--","--","16.554","--","--","-18","--","No","00:00:02,3","21","--","39","30","47","01:39:53","01:41:15","-4","14"
Running,2026-03-29 11:34:50,false,"Amsterdam Running","11,02","721","00:55:44","155","168","4,0","165","180","5:03","4:40","41","35","1,20","8,1","9,9","283","50,2% L / 49,8% R","5:03","--","--","349","0,0","--","347","469","--","--","--","9.160","--","--","-12","--","No","00:00:05,1","12","--","36","20","42","00:55:41","00:55:44","-6","10"
Running,2026-03-25 12:57:42,false,"Diemen Running","10,01","653","00:50:59","160","169","4,1","165","179","5:06","4:30","53","52","1,19","7,6","9,3","276","49,1% L / 50,9% R","5:06","--","--","330","0,0","--","327","440","--","--","--","8.350","--","--","-11","--","No","00:00:01,7","11","--","38","20","44","00:50:55","00:50:59","-4","6"
Running,2026-03-22 11:59:49,false,"Amsterdam Running","17,02","1.066","01:23:48","159","171","4,6","167","177","4:55","3:54","43","44","1,22","7,6","9,5","279","49,9% L / 50,1% R","4:56","--","--","338","0,0","--","337","444","--","--","--","13.904","--","--","-18","--","No","00:00:04,7","18","--","37","22","44","01:23:43","01:29:50","-3","10"
